
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_INT_XING, 8, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_RESET_CATCH_AND_SYNC_1, 3, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_89_1, 3, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_72, 1, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_73, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_33_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_SYNC_ROCKET_TILE_TILE, 1963, 4870, 705, 0, 2, 8, 8, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_INT_XING_XING, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ROCKET_TILE_ROCKET, 1959, 4870, 705, 0, 2, 8, 8, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_D_CACHE_DCACHE, 390, 810, 122, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_AMOALU, 0, 181, 66, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ARBITER, 0, 93, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ARBITER_1, 0, 123, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_D_CACHE_DATA_ARRAY, 11, 17, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TLB, 0, 49, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_FRONTEND_FRONTEND, 583, 934, 56, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_I_CACHE_ICACHE, 183, 466, 26, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_SHIFT_QUEUE, 332, 354, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TLB_1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ROCKET, 973, 2997, 516, 0, 2, 0, 2, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ALU, 0, 456, 35, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_BREAKPOINT_UNIT, 0, 599, 192, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CSR_FILE, 420, 844, 122, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_I_BUF, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_MUL_DIV, 120, 867, 121, 0, 2, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_XBAR_TILE_BUS, 13, 129, 11, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TLPLIC_PLIC, 141, 245, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_LEVEL_GATEWAY, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_LEVEL_GATEWAY_0, 1, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_13, 70, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_ATOMIC_AUTOMATA, 122, 440, 32, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_1, 253, 228, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_0, 71, 68, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_1, 76, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_1_0, 40, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_1_1, 39, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_4, 9, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_5, 12, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_7, 5, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_8, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_2, 222, 138, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_10_0, 79, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_9, 143, 92, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_ERROR, 26, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_23, 9, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_24, 12, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_26, 5, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_SYSTEM_BUS, 389, 220, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_14, 161, 88, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_15, 93, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_16, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_17, 127, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_18, 7, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_CACHE_CORK, 31, 179, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_10_1, 13, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_10_2, 5, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_DEBUG_MODULE_DEBUG, 795, 1783, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_DEBUG_MODULE_INNER_ASYNC_DM_INNER, 672, 1714, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK_2, 24, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_23, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_26, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_24, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_27, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_25, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_28, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_26, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_29, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_27, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_30, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_VALID_SYNC_3_1, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_28, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_31, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_1_0_29, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_32, 1, 0, 0, 0, 0, 0, 0, 0, 0
